country,country_code_2_digit,country_code_3_digit,reported_date,population,hospital_occupancy_count,ICU_occupancy_count,source
Austria,AT,AUT,2020-10-25,8858775,1225.0,174.0,Country_Website
Belgium,BE,BEL,2020-10-25,11455519,4825.0,756.0,Country_Website
Bulgaria,BG,BGR,2020-10-25,7000039,1976.0,138.0,External_Github
Czechia,CZ,CZE,2020-10-25,10649800,5613.0,828.0,Country_Website
Denmark,DK,DNK,2020-10-25,5806081,127.0,18.0,Country_Website
Estonia,EE,EST,2020-10-25,1324820,29.0,4.0,Country_API
France,FR,FRA,2020-10-25,67012883,16454.0,2575.0,Country_Website
Hungary,HU,HUN,2020-10-25,9772756,2449.0,221.0,JRC
Ireland,IE,IRL,2020-10-25,4904240,319.0,39.0,Country_Website
Italy,IT,ITA,2020-10-25,60359546,13214.0,1208.0,Country_Github
Latvia,LV,LVA,2020-10-25,1919968,146.0,,Country_Website
Luxembourg,LU,LUX,2020-10-25,613894,114.0,12.0,Country_Website
Netherlands,NL,NLD,2020-10-25,17282163,,537.0,Other Website
Portugal,PT,PRT,2020-10-25,10276617,1574.0,230.0,Country_Website
Romania,RO,ROU,2020-10-25,19414458,,828.0,Country_Website
Slovakia,SK,SVK,2020-10-25,5450421,1117.0,,JRC
Slovenia,SI,SVN,2020-10-25,2080908,508.0,73.0,Country_Github
United Kingdom,UK,GBR,2020-10-25,66647112,9199.0,,Country_Website
Austria,AT,AUT,2020-10-24,8858775,1177.0,175.0,Country_Website
Belgium,BE,BEL,2020-10-24,11455519,4408.0,694.0,Country_Website
Bulgaria,BG,BGR,2020-10-24,7000039,1886.0,127.0,External_Github
Czechia,CZ,CZE,2020-10-24,10649800,5345.0,800.0,Country_Website
Denmark,DK,DNK,2020-10-24,5806081,120.0,17.0,Country_Website
Estonia,EE,EST,2020-10-24,1324820,28.0,3.0,Country_API
France,FR,FRA,2020-10-24,67012883,15637.0,2491.0,Country_Website
Hungary,HU,HUN,2020-10-24,9772756,2245.0,205.0,JRC
Ireland,IE,IRL,2020-10-24,4904240,312.0,37.0,Country_Website
Italy,IT,ITA,2020-10-24,60359546,12415.0,1128.0,Country_Github
Latvia,LV,LVA,2020-10-24,1919968,127.0,,Country_Website
Luxembourg,LU,LUX,2020-10-24,613894,103.0,12.0,Country_Website
Netherlands,NL,NLD,2020-10-24,17282163,,525.0,Other Website
